No,Ticker,Company Name,Sector,Sparkline,Price,Change%,Change,PriceOpen,High,Low,ClosePrev,Gap_Pct,Gap_Flag,Volume,Vol_Avg,Vol_Ratio,Vol_Flag,Daily_Range_Pct,Vol_Level,MarketCap,PE,PE_Grade,EPS,Beta,52W High,52W Low,Dist to 52W High,Dist_52W_Low,52W_Range_Pct,Range_Signal,MA20,MA50,MA200,Support,Breakout,Reversal,BSJP,Signal,Trend,Score,Score v2,Rank,Final_Signal,SL_Practical,TP_Target,RR_Ratio,ATR14,ATR %,RSI14,RSI Signal,Status,Volume_Flag,Liquidity_Score,Momentum_Score,ARA_Score,ARA_Dist_Pct,ARA_Stage,Gap_Score,Last Update,Clean Ticker
,IDX:AADI,Adaro Andalan Indonesia Tbk.,Energy,,8075,1.25,100,8000,8125,8000,7975,0.31,➡️ FLAT OPEN,2216500,21391920,0.1,NORMAL,1.55,💤 LOW,63073817100000,4.99,CHEAP,1614.32,,11800,6650,-31.56779661,19.92,25.73,🟡 LOWER HALF,8000,8558.870968,8820.736434,6982.5,,,🟡 HOLD,BUY,SIDEWAYS,52,26.52,⚠️ AVOID,❌ AVOID,7779.4,9304,4.16,,,,,🟢 ACTIVE,📉 LOW,,,16,15.6,⚪ PRE,➖ FLAT,2026-06-24 10:01:41,AADI
,IDX:AALI,Astra Agro Lestari Tbk.,Consumer Non-Cyclicals,,6175,0.41,25,6150,6200,6125,6150,0,➡️ FLAT OPEN,197400,3452450,0.06,NORMAL,1.21,💤 LOW,11884948400000,7.55,CHEAP,814.72,,9000,5600,-31.38888889,9.38,15.44,🟡 LOWER HALF,6183.928571,6839.516129,7443.023256,5880,,,🟡 HOLD,HOLD,SIDEWAYS,30,25.58,⚠️ AVOID,➖ NEUTRAL,6039.87,7107,6.9,,,,,🟢 ACTIVE,📉 LOW,,,12/30/1899 0:00:00,1/15/1900 7:12:00,⚪ PRE,➖ FLAT,2026-06-24 10:01:41,AALI
,IDX:ABBA,Mahaka Media Tbk.,Consumer Cyclicals,,34,0,0,,,,34,-100,⬇️ GAP DOWN,0,344373,0,NORMAL,,—,133820396000,,—,-6.52,,97,29,-64.94845361,17.24,7.35,🟢 NEAR BOTTOM,34.35714286,36.61290323,46.17054264,30.45,,,🟡 HOLD,HOLD,SIDEWAYS,22,41,🔥 Watchlist,➖ NEUTRAL,33.37,41,—,,,,,🟢 ACTIVE,📉 LOW,,,1/27/1900 0:00:00,1/24/1900 21:36:00,⚪ PRE,📉 GAP DOWN,2026-06-24 10:01:41,ABBA
,IDX:ABDA,Asuransi Bina Dana Arta Tbk.,Financials,,3320,-1.78,-60,3320,3360,3320,3380,-1.78,➡️ FLAT OPEN,1600,16637,0.1,NORMAL,1.2,💤 LOW,2061077912000,18.6,FAIR,178.46,,4760,2230,-30.25210084,48.43,42.69,⚡ MID ZONE,3283.076923,3454.333333,3032.522523,2341.5,,,🟡 HOLD,REDUCE,SIDEWAYS,43,18.28,⚠️ AVOID,❌ AVOID,3198.23,3795,3.9,,,,,🟢 ACTIVE,📉 LOW,,,1/9/1900 0:00:00,1/20/1900 9:36:00,⬇️ RED,➖ FLAT,2026-06-24 10:01:41,ABDA
,IDX:ABMM,ABM Investama Tbk.,Energy,,2440,0.83,20,2450,2450,2420,2420,1.24,➡️ FLAT OPEN,10400,1297097,0.01,NORMAL,1.23,💤 LOW,6745254250000,5.94,CHEAP,410.6,,3190,2120,-23.51097179,14.62,28.97,🟡 LOWER HALF,2355.714286,2525.16129,2829.302326,2226,,,🟡 HOLD,BUY,SIDEWAYS,53,22.1,⚠️ AVOID,➖ NEUTRAL,2285.32,2688,1.6,,,,,🟢 ACTIVE,📉 LOW,,,1/15/1900 0:00:00,1/18/1900 7:12:00,⚪ PRE,➖ FLAT,2026-06-24 10:01:41,ABMM
,IDX:ACES,Aspirasi Hidup Indonesia Tbk.,Consumer Cyclicals,,338,2.42,8,332,338,332,330,0.61,➡️ FLAT OPEN,3248600,36216590,0.09,NORMAL,1.78,💤 LOW,5786688440000,8.35,CHEAP,40.24,,525,310,-35.61904762,7.1,10.23,🟢 NEAR BOTTOM,347.5714286,356.3225806,387.0852713,325.5,,,🔵 BUY,STRONG_BUY,UP,35,31.82,🔥 Watchlist,❌ AVOID,336.91,400,—,,,,,🟢 ACTIVE,📉 LOW,,,1/11/1900 0:00:00,1/17/1900 2:24:00,🟢 EARLY,➖ FLAT,2026-06-24 10:01:41,ACES
,IDX:ACRO,Samcro Hyosung Adilestari Tbk.,Basic Materials,,65,0,1,65,65,63,64,1.56,➡️ FLAT OPEN,663800,4936583,0.13,NORMAL,3.08,NORMAL,225507425000,26.33,PREMIUM,2.47,,128,51,-49.21875,25.49,16.88,🟡 LOWER HALF,60.28571429,65.22580645,78.60465116,53.55,,,🟡 HOLD,HOLD,SIDEWAYS,38,32.46,🔥 Watchlist,❌ AVOID,59.52,78,2.37,,,,,🟢 ACTIVE,📉 LOW,,,1/9/1900 0:00:00,1/23/1900 19:12:00,⚪ PRE,➖ FLAT,2026-06-24 10:01:41,ACRO
,IDX:ACST,Acset Indonusa Tbk.,Industrials,,73,0,0,,,,73,-100,⬇️ GAP DOWN,0,420987,0,NORMAL,,—,1290286680000,,—,-42.48,,204,69,-64.21568627,5.8,2.96,🟢 NEAR BOTTOM,72.71428571,82.32258065,114.1085271,72.45,,,🟡 HOLD,HOLD,SIDEWAYS,38,41.56,🔥 Watchlist,➖ NEUTRAL,71.2,88,8.33,,,,,🟢 ACTIVE,📉 LOW,,,2/6/1900 0:00:00,1/24/1900 21:36:00,⚪ PRE,📉 GAP DOWN,2026-06-24 10:01:41,ACST
,IDX:ADCP,Adhi Commuter Properti Tbk.,Property & Real Estate,,50,0,0,,,,50,-100,⬇️ GAP DOWN,0,2774283,0,ILLIQUID,,—,1111111000000,,—,-96,,75,50,-33.33333333,0,0,🟢 NEAR BOTTOM,50,50.04761905,53.68907563,52.5,,,🟡 HOLD,HOLD,SIDEWAYS,25,26.67,⚠️ AVOID,➖ NEUTRAL,48.5,58,5.33,,,,,🟢 ACTIVE,📉 LOW,,,1/24/1900 0:00:00,1/24/1900 21:36:00,⚪ PRE,📉 GAP DOWN,2026-06-24 10:01:41,ADCP
,IDX:ADES,Akasha Wira International Tbk.,Consumer Non-Cyclicals,,34700,0.58,200,34950,36000,32025,34500,1.3,➡️ FLAT OPEN,66300,70250,0.94,NORMAL,11.46,🌋 VERY HIGH,20454671540000,24.04,PREMIUM,1442.27,,36000,10325,-3.611111111,222.28,93.01,🔴 NEAR 52W HIGH,23960.71429,22597.58065,17392.63566,10841.25,,,🟡 HOLD,BUY,SIDEWAYS,40,5.94,⚠️ AVOID,⚠️ PUMP WARNING,30945.75,35129,0.11,,,,,🟢 ACTIVE,📉 LOW,,,2/3/1900 0:00:00,1/15/1900 4:48:00,⚪ PRE,➖ FLAT,2026-06-24 10:01:41,ADES
